frm_class;frm_snr;frm_nobs;depth_from;depth_to;tsw;variable;network;station;instrument;tsw;lon;lat;idx
undeducible;;5;0.0;0.05;bulk;soil_moisture;AACES;Farm01;ThetaProbe-ML2X;bulk;143.66369;-34.77682;0
undeducible;;4;0.0;0.05;bulk;soil_moisture;AACES;Farm02;ThetaProbe-ML2X;bulk;143.89634;-34.77832;1
undeducible;;2;0.0;0.05;bulk;soil_moisture;AACES;Farm03;ThetaProbe-ML2X;bulk;144.31351;-34.65276;2
undeducible;;3;0.0;0.05;bulk;soil_moisture;AACES;Farm04;ThetaProbe-ML2X;bulk;144.43211;-34.74041;3
undeducible;;7;0.0;0.05;bulk;soil_moisture;AACES;Farm06;ThetaProbe-ML2X;bulk;144.7957;-35.03008;4
undeducible;;9;0.0;0.05;bulk;soil_moisture;AACES;Farm07;ThetaProbe-ML2X;bulk;145.47188;-34.67459;5
undeducible;;4;0.0;0.05;bulk;soil_moisture;AACES;Farm08;ThetaProbe-ML2X;bulk;145.41483;-34.95988;6
undeducible;;9;0.0;0.05;bulk;soil_moisture;AACES;Farm09;ThetaProbe-ML2X;bulk;146.07833;-34.65475;7
undeducible;;8;0.0;0.05;bulk;soil_moisture;AACES;Farm10;ThetaProbe-ML2X;bulk;145.99335;-34.95354;8
undeducible;;3;0.0;0.05;bulk;soil_moisture;AACES;Farm11;ThetaProbe-ML2X;bulk;146.58227;-34.90187;9
undeducible;;6;0.0;0.05;bulk;soil_moisture;AACES;Farm12;ThetaProbe-ML2X;bulk;146.72063;-35.04783;10
undeducible;;8;0.0;0.05;bulk;soil_moisture;AACES;Farm13;ThetaProbe-ML2X;bulk;147.13559;-34.78724;11
undeducible;;3;0.0;0.05;bulk;soil_moisture;AACES;Farm14;ThetaProbe-ML2X;bulk;147.11081;-35.17825;12
undeducible;;6;0.0;0.05;bulk;soil_moisture;AACES;Farm15;ThetaProbe-ML2X;bulk;147.85572;-34.97633;13
undeducible;;6;0.0;0.05;bulk;soil_moisture;AACES;Farm16;ThetaProbe-ML2X;bulk;148.05849;-35.23922;14
undeducible;;8;0.0;0.05;bulk;soil_moisture;AACES;Farm17;ThetaProbe-ML2X;bulk;148.37039;-34.89206;15
undeducible;;3;0.0;0.05;bulk;soil_moisture;AACES;Farm18;ThetaProbe-ML2X;bulk;148.2887;-35.16828;16
undeducible;;3;0.0;0.05;bulk;soil_moisture;AACES;Farm19;ThetaProbe-ML2X;bulk;149.00049;-35.07023;17
undeducible;;9;0.0;0.05;bulk;soil_moisture;AACES;Farm20;ThetaProbe-ML2X;bulk;149.13493;-35.06349;18
undeducible;;7;0.0;0.06;bulk;soil_moisture;AACES;Station01;ThetaProbe-ML2X;bulk;143.67131;-34.76381;19
undeducible;;7;0.0;0.06;bulk;soil_moisture;AACES;Station02;ThetaProbe-ML2X;bulk;143.66825;-34.79636;20
undeducible;;7;0.0;0.06;bulk;soil_moisture;AACES;Station05;ThetaProbe-ML2X;bulk;144.312;-34.6494;21
undeducible;;9;0.0;0.06;bulk;soil_moisture;AACES;Station06;ThetaProbe-ML2X;bulk;144.3125;-34.6628;22
undeducible;;9;0.0;0.06;bulk;soil_moisture;AACES;Station07;ThetaProbe-ML2X;bulk;144.43434;-34.7347;23
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station08;ThetaProbe-ML2X;bulk;144.43474;-34.7556;24
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station09;ThetaProbe-ML2X;bulk;144.78933;-34.6274;25
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station10;ThetaProbe-ML2X;bulk;144.79397;-34.6469;26
undeducible;;9;0.0;0.06;bulk;soil_moisture;AACES;Station11;ThetaProbe-ML2X;bulk;144.79295;-35.02947;27
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station12;ThetaProbe-ML2X;bulk;144.78863;-35.04097;28
undeducible;;6;0.0;0.06;bulk;soil_moisture;AACES;Station13;ThetaProbe-ML2X;bulk;145.46862;-34.66259;29
undeducible;;5;0.0;0.06;bulk;soil_moisture;AACES;Station14;ThetaProbe-ML2X;bulk;145.47247;-34.67694;30
undeducible;;6;0.0;0.06;bulk;soil_moisture;AACES;Station15;ThetaProbe-ML2X;bulk;145.41083;-34.9495;31
undeducible;;5;0.0;0.06;bulk;soil_moisture;AACES;Station16;ThetaProbe-ML2X;bulk;145.41532;-34.9637;32
undeducible;;18;0.0;0.06;bulk;soil_moisture;AACES;Station17;ThetaProbe-ML2X;bulk;146.07817;-34.64792;33
undeducible;;18;0.0;0.06;bulk;soil_moisture;AACES;Station18;ThetaProbe-ML2X;bulk;146.07925;-34.6705;34
undeducible;;20;0.0;0.06;bulk;soil_moisture;AACES;Station19;ThetaProbe-ML2X;bulk;145.98958;-34.93478;35
undeducible;;21;0.0;0.06;bulk;soil_moisture;AACES;Station20;ThetaProbe-ML2X;bulk;145.99936;-34.96073;36
undeducible;;9;0.0;0.06;bulk;soil_moisture;AACES;Station25;ThetaProbe-ML2X;bulk;147.1408;-34.78043;37
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station26;ThetaProbe-ML2X;bulk;147.14085;-34.79623;38
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station27;ThetaProbe-ML2X;bulk;147.105;-35.171;39
undeducible;;6;0.0;0.06;bulk;soil_moisture;AACES;Station28;ThetaProbe-ML2X;bulk;147.119;-35.185;40
undeducible;;11;0.0;0.06;bulk;soil_moisture;AACES;Station29;ThetaProbe-ML2X;bulk;147.85267;-34.96287;41
undeducible;;11;0.0;0.06;bulk;soil_moisture;AACES;Station30;ThetaProbe-ML2X;bulk;147.85403;-34.98263;42
undeducible;;0;0.0;0.06;bulk;soil_moisture;AACES;Station31;ThetaProbe-ML2X;bulk;148.06292;-35.21873;43
undeducible;;5;0.0;0.06;bulk;soil_moisture;AACES;Station32;ThetaProbe-ML2X;bulk;148.05672;-35.24008;44
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station34;ThetaProbe-ML2X;bulk;148.37769;-34.89562;45
undeducible;;8;0.0;0.06;bulk;soil_moisture;AACES;Station36;ThetaProbe-ML2X;bulk;148.29327;-35.17122;46
undeducible;;11;0.0;0.06;bulk;soil_moisture;AACES;Station37;ThetaProbe-ML2X;bulk;148.99915;-35.06318;47
undeducible;;11;0.0;0.06;bulk;soil_moisture;AACES;Station39;ThetaProbe-ML2X;bulk;149.12515;-35.04741;48
very representative;3.7189007;12605;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Banizoumbou;CS616-1;bulk;2.6604;13.5325;49
very representative;3.9170141;12603;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Banizoumbou;CS616-2;bulk;2.6604;13.5325;50
very representative;9.578238;10640;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Belefoungou-Mid;CS616;bulk;1.70994;9.79506;51
very representative;8.947686;10641;0.1;0.1;bulk;soil_moisture;AMMA-CATCH;Belefoungou-Mid;CS616;bulk;1.70994;9.79506;52
very representative;10.271819;10323;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Belefoungou-Top;CS616;bulk;1.70994;9.78986;53
very representative;8.154102;10306;0.1;0.1;bulk;soil_moisture;AMMA-CATCH;Belefoungou-Top;CS616;bulk;1.70994;9.78986;54
very representative;7.5925965;4894;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Nalohou-Mid;CS616;bulk;1.6053;9.7453;55
very representative;7.6496778;9621;0.1;0.1;bulk;soil_moisture;AMMA-CATCH;Nalohou-Mid;CS616;bulk;1.6053;9.7453;56
very representative;6.003003;11149;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Nalohou-Top;CS616;bulk;1.6058;9.74407;57
very representative;5.4212837;11150;0.1;0.1;bulk;soil_moisture;AMMA-CATCH;Nalohou-Top;CS616;bulk;1.6058;9.74407;58
very representative;5.360587;12792;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Tondikiboro;CS616-1;bulk;2.6956;13.548;59
representative;2.0063748;12417;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Tondikiboro;CS616-2;bulk;2.6956;13.548;60
representative;2.7996433;12473;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Wankama;CS616-1;bulk;2.632;13.6456;61
very representative;3.9805987;12469;0.05;0.05;bulk;soil_moisture;AMMA-CATCH;Wankama;CS616-2;bulk;2.632;13.6456;62
not representative;-0.042645514;7206;0.025;0.025;bulk;soil_moisture;ARM;Anthony;SMP1-A;bulk;-98.0969;37.2134;63
not representative;-0.46554232;6532;0.025;0.025;bulk;soil_moisture;ARM;Anthony;SMP1-B;bulk;-98.0969;37.2134;64
not representative;-3.1895864;6686;0.025;0.025;bulk;soil_moisture;ARM;Anthony;SMP1-C;bulk;-98.0969;37.2134;65
representative;2.5129352;4282;0.05;0.05;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-E;bulk;-98.0969;37.2134;66
representative;2.0681908;4299;0.05;0.05;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-S;bulk;-98.0969;37.2134;67
very representative;3.4873073;4263;0.05;0.05;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-W;bulk;-98.0969;37.2134;68
representative;0.54916453;4299;0.1;0.1;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-E;bulk;-98.0969;37.2134;69
representative;0.9882528;4291;0.1;0.1;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-S;bulk;-98.0969;37.2134;70
representative;1.0954171;4267;0.1;0.1;bulk;soil_moisture;ARM;Anthony;Hydraprobe-II-Sdi-12-W;bulk;-98.0969;37.2134;71
very representative;5.0792956;5967;0.05;0.05;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-E;bulk;-97.266;37.133;72
very representative;4.430229;5969;0.05;0.05;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-S;bulk;-97.266;37.133;73
very representative;4.8326163;5970;0.05;0.05;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-W;bulk;-97.266;37.133;74
very representative;4.203461;12025;0.05;0.05;bulk;soil_moisture;ARM;Ashton;Water-Matric-Potential-Sensor-229L-E;bulk;-97.266;37.133;75
very representative;4.119078;11913;0.05;0.05;bulk;soil_moisture;ARM;Ashton;Water-Matric-Potential-Sensor-229L-W;bulk;-97.266;37.133;76
not representative;-5.092242;5827;0.1;0.1;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-E;bulk;-97.266;37.133;77
not representative;-6.811269;5899;0.1;0.1;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-S;bulk;-97.266;37.133;78
not representative;-6.8187103;5927;0.1;0.1;bulk;soil_moisture;ARM;Ashton;Hydraprobe-II-Sdi-12-W;bulk;-97.266;37.133;79
representative;0.39102557;5650;0.05;0.05;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-E;bulk;-98.285;36.881;80
representative;1.33004;5628;0.05;0.05;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-S;bulk;-98.285;36.881;81
representative;1.7984072;5629;0.05;0.05;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-W;bulk;-98.285;36.881;82
representative;0.6927478;11944;0.05;0.05;bulk;soil_moisture;ARM;Byron;Water-Matric-Potential-Sensor-229L-E;bulk;-98.285;36.881;83
not representative;-0.37571967;12089;0.05;0.05;bulk;soil_moisture;ARM;Byron;Water-Matric-Potential-Sensor-229L-W;bulk;-98.285;36.881;84
not representative;-9.573324;4924;0.1;0.1;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-E;bulk;-98.285;36.881;85
not representative;-11.870409;4813;0.1;0.1;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-S;bulk;-98.285;36.881;86
undeducible;-13.462671;4292;0.1;0.1;bulk;soil_moisture;ARM;Byron;Hydraprobe-II-Sdi-12-W;bulk;-98.285;36.881;87
representative;2.7713077;8527;0.05;0.05;bulk;soil_moisture;ARM;Coldwater;Water-Matric-Potential-Sensor-229L-E;bulk;-99.309;37.333;88
representative;2.8770475;8546;0.05;0.05;bulk;soil_moisture;ARM;Coldwater;Water-Matric-Potential-Sensor-229L-W;bulk;-99.309;37.333;89
representative;0.68315035;10683;0.05;0.05;bulk;soil_moisture;ARM;Cordell;Water-Matric-Potential-Sensor-229L-E;bulk;-98.977;35.354;90
representative;1.0084944;10707;0.05;0.05;bulk;soil_moisture;ARM;Cordell;Water-Matric-Potential-Sensor-229L-W;bulk;-98.977;35.354;91
representative;1.749947;8740;0.05;0.05;bulk;soil_moisture;ARM;Cyril;Water-Matric-Potential-Sensor-229L-E;bulk;-98.205;34.883;92
representative;2.101711;5604;0.05;0.05;bulk;soil_moisture;ARM;Cyril;Water-Matric-Potential-Sensor-229L-W;bulk;-98.205;34.883;93
undeducible;;63;0.05;0.05;bulk;soil_moisture;ARM;Earlsboro;Water-Matric-Potential-Sensor-229L-E;bulk;-96.74;35.269;94
undeducible;-2.4119508;2992;0.05;0.05;bulk;soil_moisture;ARM;Earlsboro;Water-Matric-Potential-Sensor-229L-W;bulk;-96.74;35.269;95
representative;1.3050023;8029;0.05;0.05;bulk;soil_moisture;ARM;ElReno;Water-Matric-Potential-Sensor-229L-E;bulk;-98.017;35.557;96
